X,Y,OBJECTID,siteID,siteName,radarType,antennaElevation
-93.5655180003,44.8488889999,99,KMPX,MINNEAPOLIS,NEXRAD,Unknown
-87.5483230003,46.5311109998,100,KMQT,MARQUETTE,NEXRAD,Unknown
-83.4019350002,36.1683330002,101,KMRX,KNOXVILLE,NEXRAD,Unknown
-113.9861009997,47.0411109997,102,KMSX,MISSOULA (RDA 1),NEXRAD,Unknown
-112.4477689998,41.2627780003,103,KMTX,SALT LAKE CITY (RDA 1),NEXRAD,Unknown
-121.898435,37.155222,104,KMUX,SAN FRANCISCO,NEXRAD,Unknown
-97.3249900004,47.5280559999,105,KMVX,FARGO/GRAND FORKS,NEXRAD,Unknown
-85.7897409999,32.5366499999,106,KMXX,MAXWELL AFB,NEXRAD,Unknown
-117.0419360002,32.9188890001,107,KNKX,SAN DIEGO,NEXRAD,Unknown
-89.8733240002,35.3447219999,108,KNQA,MEMPHIS,NEXRAD,Unknown
-96.366796,41.3202779998,109,KOAX,OMAHA,NEXRAD,Unknown
-86.5624909998,36.247222,110,KOHX,NASHVILLE,NEXRAD,Unknown
-72.8639080003,40.8655279997,111,KOKX,BROOKHAVEN,NEXRAD,Unknown
-117.625823,47.680556,112,KOTX,SPOKANE,NEXRAD,Unknown
-88.7719349997,37.0683330003,113,KPAH,PADUCAH,NEXRAD,Unknown
-80.2179350001,40.5316670003,114,KPBZ,PITTSBURGH,NEXRAD,Unknown
-118.8529069996,45.6905560003,115,KPDT,PENDLETON,NEXRAD,Unknown
-92.9758250001,31.1552780001,116,KPOE,FT POLK,NEXRAD,Unknown
-104.1813799996,38.4594439999,117,KPUX,PUEBLO,NEXRAD,Unknown
-78.4899919999,35.6652779998,118,KRAX,RALEIGH/DURHAM,NEXRAD,Unknown
-119.4620189999,39.7540559999,119,KRGX,RENO (RDA 1),NEXRAD,Unknown
-108.4772899997,43.0661110001,120,KRIW,RIVERTON/LANDER,NEXRAD,Unknown
-81.722769,38.3111109997,121,KRLX,"CHARLESTON, WV",NEXRAD,Unknown
-122.96499,45.7149999997,122,KRTX,"PORTLAND, OR",NEXRAD,Unknown
-112.6861229997,43.1056000002,123,KSFX,POCATELLO,NEXRAD,Unknown
-93.4002689997,37.2352779999,124,KSGF,SPRINGFIELD,NEXRAD,Unknown
-93.8412419996,32.4508329997,125,KSHV,SHREVEPORT,NEXRAD,Unknown
-100.4922140003,31.371111,126,KSJT,SAN ANGELO,NEXRAD,Unknown
-117.6359910002,33.8177329999,127,KSOX,SANTA ANA MTS,NEXRAD,Unknown
-94.36188,35.290417,128,KSRX,WESTERN ARKANSAS,NEXRAD,Unknown
-82.401936,27.705278,129,KTBW,TAMPA,NEXRAD,Unknown
-111.3852679997,47.4597219997,130,KTFX,GREAT FALLS,NEXRAD,Unknown
-84.3288810001,30.3975000001,131,KTLH,TALLAHASSEE,NEXRAD,Unknown
-97.2777530002,35.3330559997,132,KTLX,NORMAN,NEXRAD,Unknown
-96.2324910001,38.9969440003,133,KTWX,TOPEKA,NEXRAD,Unknown
-75.6799899996,43.7558329997,134,KTYX,FT DRUM,NEXRAD,Unknown
-102.8299900002,44.1247220003,135,KUDX,RAPID CITY,NEXRAD,Unknown
-98.441935,40.3208330001,136,KUEX,GRAND ISLAND,NEXRAD,Unknown
-83.0017980001,30.8902780001,137,KVAX,MOODY AFB,NEXRAD,Unknown
-120.3979090004,34.8385499997,138,KVBX,VANDENBERG AFB,NEXRAD,Unknown
-98.1274909996,36.740833,139,KVNX,VANCE AFB,NEXRAD,Unknown
-119.1786020001,34.4116669997,140,KVTX,LOS ANGELES,NEXRAD,Unknown
-87.7245190003,38.2602500002,141,KVWX,"EVANSVILLE, IN (NON-NEXRAD)",NEXRAD,Unknown
-114.6566860003,32.4952780001,142,KYUX,YUMA (RDA 1),NEXRAD,Unknown
-135.5291539998,56.8527780001,143,PACG,SITKA FAA (RDA 1),NEXRAD,Unknown
-165.2949840003,64.5113890001,144,PAEC,NOME FAA (RDA 1),NEXRAD,Unknown
-151.3491530004,60.726389,145,PAHG,ANCHORAGE FAA (RDA 1),NEXRAD,Unknown
-146.3010969997,59.461944,146,PAIH,MIDDLETON ISLAND (RDA 1),NEXRAD,Unknown
-156.6294310004,58.6794440001,147,PAKC,KING SALMON FAA (RDA 1),NEXRAD,Unknown
-147.4991510004,65.0355560001,148,PAPD,FAIRBANKS FAA (RDA 1),NEXRAD,Unknown
144.8111180003,13.4558329999,149,PGUA,ANDERSEN AFB,NEXRAD,Unknown
-159.5524919997,21.8938890002,150,PHKI,SOUTH KAUAI FAA (RDA 1),NEXRAD,Unknown
-155.7777709997,20.1252779997,151,PHKM,KAMUELA/KOHALA APT (RDA 1),NEXRAD,Unknown
-157.1802699996,21.1327779998,152,PHMO,MOLOKAI FAA (RDA 1),NEXRAD,Unknown
-155.568881,19.0950000001,153,PHWA,SOUTH SHORE FAA (RDA 1),NEXRAD,Unknown
-66.0781589997,18.1156670004,154,TJUA,SAN JUAN FAA (RDA 1),NEXRAD,Unknown
-77.4874910003,38.9761109997,155,KLWX,STERLING,NEXRAD,Unknown
-161.8763750004,60.7919439999,156,PABC,BETHEL FAA (RDA 1),NEXRAD,Unknown
-76.8449999999,38.6949999999,157,TADW,Andrews Air Force Base,TDWR,346
-84.2619999998,33.647,158,TATL,Atlanta,TDWR,1075
-86.6619999998,35.9799999997,159,TBNA,Nashville,TDWR,817
-70.9329999996,42.1579999997,160,TBOS,Boston,TDWR,264
-76.6300000001,39.09,161,TBWI,Baltimore/Wash,TDWR,297
-80.8849999999,35.337,162,TCLT,Charlotte,TDWR,871
-82.7150000003,40.0060000003,163,TCMH,"Columbus, OH",TDWR,1148
-84.58,38.8979999997,164,TCVG,Covington,TDWR,1053
-96.9679999996,32.926,165,TDAL,Dallas Love Field,TDWR,622
-84.123,40.0220000003,166,TDAY,Dayton,TDWR,1019
-76.9619999997,38.7590000003,167,TDCA,Washington National,TDWR,345
-104.5260000004,39.728,168,TDEN,Denver,TDWR,5701
-96.918,33.0650000001,169,TDFW,Dallas/Ft. Worth,TDWR,585
-83.515,42.1110000003,170,TDTW,Detroit,TDWR,772
-74.2699999999,40.593,171,TEWR,Newark,TDWR,136
-80.344,26.1429999998,172,TFLL,Fort Lauderdale,TDWR,120
-95.2419999997,29.5160000002,173,THOU,Houston Hobby,TDWR,117
-77.5289999999,39.084,174,TIAD,Dulles,TDWR,473
-95.5669999996,30.0650000002,175,TIAH,Houston International,TDWR,253
-97.4369999998,37.5070000003,176,TICH,Witchita,TDWR,1351
-86.4359999999,39.6370000003,177,TIDS,Indianapolis,TDWR,847
-73.881,40.5890000001,178,TJFK,New York City,TDWR,112
-115.0070000003,36.1440000001,179,TLAS,Las Vegas,TDWR,2058
-82.0080000002,41.29,180,TLVE,"Cleveland, OH",TDWR,931
-94.7419999997,39.4980000001,181,TMCI,Kansas City,TDWR,1090
-81.3260000004,28.3440000001,182,TMCO,Orlando International,TDWR,169
-87.7300000001,41.6510000001,183,TMDW,Chicago Midway,TDWR,763
-89.9930000004,34.896,184,TMEM,Memphis,TDWR,483
-80.4909999996,25.7580000002,185,TMIA,Miami,TDWR,125
-88.0460000001,42.8189999998,186,TMKE,Milwaukee,TDWR,933
-92.9330000001,44.8709999999,187,TMSP,Minneapolis,TDWR,1121
-90.4030000001,30.0219999997,188,TMSY,New Orleans,TDWR,99
-97.5100000004,35.2760000001,189,TOKC,Oklahoma City,TDWR,1308
-87.8579999999,41.7969999997,190,TORD,Chicago O'Hare,TDWR,744
-80.2729999996,26.6879999998,191,TPBI,West Palm Beach,TDWR,133
-75.0690000004,39.9489999998,192,TPHL,Philadelphia,TDWR,153
-112.1629999996,33.4209999997,193,TPHX,Phoenix,TDWR,1089
-80.4860000001,40.5010000001,194,TPIT,Pittsburgh,TDWR,1386
-78.6970000004,36.0019999996,195,TRDU,Raleigh Durham,TDWR,515
-85.6099999999,38.0460000001,196,TSDF,"Louisville, KY",TDWR,731
-66.1789999999,18.4739999998,197,TSJU,San Juan,TDWR,157
-111.9300000001,40.9669999999,198,TSLC,Salt Lake City,TDWR,4295
-90.4890000001,38.8049999999,199,TSTL,St. Louis,TDWR,647
-82.5180000002,27.8600000003,200,TTPA,Tampa Bay,TDWR,93
-95.8269999996,36.0709999998,201,TTUL,Tulsa,TDWR,823
